country_name,iso3,year,fifa_rank,fifa_points,fifa_points
Switzerland,CHE,2020-12-01,12,1505,1505
Poland,POL,2020-12-01,13,1482,1482
Sweden,SWE,2020-12-01,14,1474,1474
Ukraine,UKR,2020-12-01,15,1472,1472
Czech Republic,CZE,2020-12-01,16,1444,1444
Norway,NOR,2020-12-01,17,1443,1443
Ireland,IRL,2020-12-01,18,1410,1410
Romania,ROU,2020-12-01,19,1402,1402
Serbia,SRB,2020-12-01,20,1400,1400
Hungary,HUN,2020-12-01,21,1392,1392
Slovenia,SVN,2020-12-01,22,1317,1317
Slovakia,SVK,2020-12-01,23,1316,1316
Greece,GRC,2020-12-01,24,1289,1289
Bulgaria,BGR,2020-12-01,25,1272,1272
Finland,FIN,2020-12-01,26,1256,1256
Belgium,BEL,2021-03-01,1,1774,1774
Spain,ESP,2021-03-01,2,1712,1712
Italy,ITA,2021-03-01,3,1699,1699
France,FRA,2021-03-01,4,1680,1680
Netherlands,NLD,2021-03-01,5,1677,1677
Portugal,PRT,2021-03-01,6,1677,1677
Denmark,DNK,2021-03-01,8,1662,1662
Germany,DEU,2021-03-01,9,1623,1623
Switzerland,CHE,2021-03-01,10,1620,1620
Croatia,HRV,2021-03-01,11,1599,1599
Poland,POL,2021-03-01,12,1510,1510
Austria,AUT,2021-03-01,13,1481,1481
Sweden,SWE,2021-03-01,14,1449,1449
Norway,NOR,2021-03-01,15,1441,1441
Ukraine,UKR,2021-03-01,16,1429,1429
Serbia,SRB,2021-03-01,17,1382,1382
Czech Republic,CZE,2021-03-01,18,1362,1362
Hungary,HUN,2021-03-01,19,1333,1333
Finland,FIN,2021-03-01,20,1315,1315
Romania,ROU,2021-03-01,21,1305,1305
Greece,GRC,2021-03-01,22,1295,1295
Ireland,IRL,2021-03-01,23,1259,1259
Slovakia,SVK,2021-03-01,24,1246,1246
Slovenia,SVN,2021-03-01,25,1221,1221
Bulgaria,BGR,2021-03-01,26,1218,1218
Belgium,BEL,2021-06-01,2,1767,1767
France,FRA,2021-06-01,3,1752,1752
Portugal,PRT,2021-06-01,4,1734,1734
Spain,ESP,2021-06-01,5,1731,1731
Italy,ITA,2021-06-01,6,1722,1722
Germany,DEU,2021-06-01,7,1646,1646
Denmark,DNK,2021-06-01,8,1614,1614
Croatia,HRV,2021-06-01,9,1613,1613
Netherlands,NLD,2021-06-01,10,1604,1604
Switzerland,CHE,2021-06-01,11,1535,1535
Ukraine,UKR,2021-06-01,12,1534,1534
Austria,AUT,2021-06-01,13,1532,1532
Sweden,SWE,2021-06-01,14,1457,1457
Czech Republic,CZE,2021-06-01,15,1455,1455
Serbia,SRB,2021-06-01,16,1441,1441
Poland,POL,2021-06-01,17,1438,1438
Ireland,IRL,2021-06-01,18,1388,1388
Finland,FIN,2021-06-01,19,1369,1369
Romania,ROU,2021-06-01,20,1336,1336
Hungary,HUN,2021-06-01,21,1332,1332
Greece,GRC,2021-06-01,22,1324,1324
Norway,NOR,2021-06-01,23,1310,1310
Slovenia,SVN,2021-06-01,24,1254,1254
Slovakia,SVK,2021-06-01,25,1247,1247
Bulgaria,BGR,2021-06-01,26,1201,1201
Belgium,BEL,2021-09-01,1,1802,1802
Italy,ITA,2021-09-01,3,1713,1713
Spain,ESP,2021-09-01,4,1697,1697
France,FRA,2021-09-01,5,1693,1693
Netherlands,NLD,2021-09-01,6,1667,1667
Germany,DEU,2021-09-01,7,1651,1651
Denmark,DNK,2021-09-01,8,1629,1629
Portugal,PRT,2021-09-01,9,1616,1616
Switzerland,CHE,2021-09-01,10,1584,1584
Croatia,HRV,2021-09-01,11,1568,1568
Austria,AUT,2021-09-01,12,1490,1490
Sweden,SWE,2021-09-01,13,1478,1478
Czech Republic,CZE,2021-09-01,14,1470,1470
Poland,POL,2021-09-01,15,1454,1454
Ukraine,UKR,2021-09-01,16,1424,1424
Norway,NOR,2021-09-01,17,1415,1415
Hungary,HUN,2021-09-01,18,1399,1399
Serbia,SRB,2021-09-01,19,1366,1366
Slovakia,SVK,2021-09-01,20,1359,1359
Romania,ROU,2021-09-01,21,1351,1351
Greece,GRC,2021-09-01,22,1321,1321
Ireland,IRL,2021-09-01,23,1289,1289
Finland,FIN,2021-09-01,24,1274,1274
Slovenia,SVN,2021-09-01,25,1256,1256
Bulgaria,BGR,2021-09-01,26,1210,1210
Italy,ITA,2021-12-01,1,1757,1757
Netherlands,NLD,2021-12-01,2,1736,1736
Belgium,BEL,2021-12-01,3,1715,1715
Portugal,PRT,2021-12-01,4,1708,1708
France,FRA,2021-12-01,5,1696,1696
Spain,ESP,2021-12-01,7,1650,1650
Croatia,HRV,2021-12-01,8,1614,1614
Denmark,DNK,2021-12-01,9,1597,1597
Switzerland,CHE,2021-12-01,10,1578,1578
Germany,DEU,2021-12-01,11,1553,1553
Ukraine,UKR,2021-12-01,12,1531,1531
Sweden,SWE,2021-12-01,13,1525,1525
Serbia,SRB,2021-12-01,14,1493,1493
Austria,AUT,2021-12-01,15,1475,1475
Czech Republic,CZE,2021-12-01,16,1439,1439
Poland,POL,2021-12-01,17,1384,1384
Slovakia,SVK,2021-12-01,18,1371,1371
Norway,NOR,2021-12-01,19,1351,1351
Hungary,HUN,2021-12-01,20,1320,1320
Bulgaria,BGR,2021-12-01,21,1308,1308
Romania,ROU,2021-12-01,22,1286,1286
Greece,GRC,2021-12-01,23,1285,1285
Ireland,IRL,2021-12-01,24,1273,1273
Slovenia,SVN,2021-12-01,25,1267,1267
Finland,FIN,2021-12-01,26,1254,1254
Italy,ITA,2022-03-01,2,1748,1748
Belgium,BEL,2022-03-01,3,1747,1747
Spain,ESP,2022-03-01,4,1718,1718
France,FRA,2022-03-01,5,1704,1704
Netherlands,NLD,2022-03-01,6,1646,1646
Croatia,HRV,2022-03-01,7,1633,1633
Portugal,PRT,2022-03-01,8,1619,1619
Denmark,DNK,2022-03-01,9,1606,1606
Germany,DEU,2022-03-01,10,1592,1592
Austria,AUT,2022-03-01,11,1510,1510
Switzerland,CHE,2022-03-01,12,1506,1506
Sweden,SWE,2022-03-01,13,1488,1488
Ukraine,UKR,2022-03-01,14,1485,1485
Czech Republic,CZE,2022-03-01,15,1457,1457
Hungary,HUN,2022-03-01,16,1422,1422
Poland,POL,2022-03-01,17,1409,1409
Serbia,SRB,2022-03-01,18,1392,1392
Romania,ROU,2022-03-01,19,1375,1375
Slovenia,SVN,2022-03-01,20,1344,1344
Norway,NOR,2022-03-01,21,1340,1340
Greece,GRC,2022-03-01,22,1339,1339
Ireland,IRL,2022-03-01,23,1330,1330
Finland,FIN,2022-03-01,24,1277,1277
Slovakia,SVK,2022-03-01,25,1275,1275
Bulgaria,BGR,2022-03-01,26,1227,1227
Spain,ESP,2022-06-01,1,1787,1787
Italy,ITA,2022-06-01,2,1787,1787
France,FRA,2022-06-01,3,1780,1780
Portugal,PRT,2022-06-01,4,1745,1745
Belgium,BEL,2022-06-01,5,1744,1744
Netherlands,NLD,2022-06-01,7,1673,1673
Denmark,DNK,2022-06-01,8,1658,1658
Germany,DEU,2022-06-01,9,1625,1625
Switzerland,CHE,2022-06-01,10,1601,1601
Croatia,HRV,2022-06-01,11,1594,1594
Ukraine,UKR,2022-06-01,12,1523,1523
Serbia,SRB,2022-06-01,13,1515,1515
Sweden,SWE,2022-06-01,14,1512,1512
Poland,POL,2022-06-01,15,1503,1503
Austria,AUT,2022-06-01,16,1492,1492
Hungary,HUN,2022-06-01,17,1426,1426
Czech Republic,CZE,2022-06-01,18,1404,1404
Norway,NOR,2022-06-01,19,1382,1382
Romania,ROU,2022-06-01,20,1368,1368
Finland,FIN,2022-06-01,21,1353,1353
Greece,GRC,2022-06-01,22,1301,1301
Bulgaria,BGR,2022-06-01,23,1293,1293
Slovakia,SVK,2022-06-01,24,1274,1274
Ireland,IRL,2022-06-01,25,1256,1256
Slovenia,SVN,2022-06-01,26,1225,1225
France,FRA,2022-09-01,2,1767,1767
Italy,ITA,2022-09-01,3,1749,1749
Belgium,BEL,2022-09-01,4,1735,1735
Netherlands,NLD,2022-09-01,5,1711,1711
Spain,ESP,2022-09-01,6,1671,1671
Switzerland,CHE,2022-09-01,7,1626,1626
Portugal,PRT,2022-09-01,8,1615,1615
Croatia,HRV,2022-09-01,9,1607,1607
Denmark,DNK,2022-09-01,10,1551,1551
Germany,DEU,2022-09-01,11,1534,1534
Ukraine,UKR,2022-09-01,12,1524,1524
Austria,AUT,2022-09-01,13,1521,1521
Serbia,SRB,2022-09-01,14,1495,1495
Poland,POL,2022-09-01,15,1486,1486
Sweden,SWE,2022-09-01,16,1469,1469
Czech Republic,CZE,2022-09-01,17,1458,1458
Norway,NOR,2022-09-01,18,1415,1415
Ireland,IRL,2022-09-01,19,1411,1411
Slovakia,SVK,2022-09-01,20,1384,1384
Finland,FIN,2022-09-01,21,1359,1359
Romania,ROU,2022-09-01,22,1326,1326
Slovenia,SVN,2022-09-01,23,1323,1323
Hungary,HUN,2022-09-01,24,1319,1319
Bulgaria,BGR,2022-09-01,25,1243,1243
Greece,GRC,2022-09-01,26,1216,1216
France,FRA,2022-12-01,1,1826,1826
Belgium,BEL,2022-12-01,3,1784,1784
Spain,ESP,2022-12-01,4,1777,1777
Portugal,PRT,2022-12-01,5,1741,1741
Netherlands,NLD,2022-12-01,6,1723,1723
Croatia,HRV,2022-12-01,7,1678,1678
Italy,ITA,2022-12-01,8,1668,1668
Denmark,DNK,2022-12-01,9,1651,1651
Germany,DEU,2022-12-01,10,1633,1633
Sweden,SWE,2022-12-01,11,1537,1537
Poland,POL,2022-12-01,12,1516,1516
Switzerland,CHE,2022-12-01,13,1491,1491
Austria,AUT,2022-12-01,14,1461,1461
Hungary,HUN,2022-12-01,15,1456,1456
Ukraine,UKR,2022-12-01,16,1450,1450
Czech Republic,CZE,2022-12-01,17,1411,1411
Serbia,SRB,2022-12-01,18,1399,1399
Ireland,IRL,2022-12-01,19,1390,1390
Slovakia,SVK,2022-12-01,20,1382,1382
Norway,NOR,2022-12-01,21,1350,1350
Romania,ROU,2022-12-01,22,1343,1343
Greece,GRC,2022-12-01,23,1333,1333
Finland,FIN,2022-12-01,24,1251,1251
Bulgaria,BGR,2022-12-01,25,1245,1245
Slovenia,SVN,2022-12-01,26,1228,1228
Italy,ITA,2023-03-01,2,1758,1758
France,FRA,2023-03-01,3,1749,1749
Portugal,PRT,2023-03-01,4,1729,1729
Croatia,HRV,2023-03-01,5,1713,1713
Spain,ESP,2023-03-01,6,1698,1698
Belgium,BEL,2023-03-01,7,1693,1693
Germany,DEU,2023-03-01,8,1645,1645
Netherlands,NLD,2023-03-01,9,1618,1618
Denmark,DNK,2023-03-01,10,1598,1598
Switzerland,CHE,2023-03-01,11,1538,1538
Poland,POL,2023-03-01,12,1516,1516
Ukraine,UKR,2023-03-01,13,1503,1503
Austria,AUT,2023-03-01,14,1486,1486
Czech Republic,CZE,2023-03-01,15,1430,1430
Sweden,SWE,2023-03-01,16,1402,1402
Serbia,SRB,2023-03-01,17,1367,1367
Norway,NOR,2023-03-01,18,1357,1357
Hungary,HUN,2023-03-01,19,1329,1329
Slovakia,SVK,2023-03-01,20,1324,1324
Greece,GRC,2023-03-01,21,1319,1319
Romania,ROU,2023-03-01,22,1309,1309
Ireland,IRL,2023-03-01,23,1278,1278
Finland,FIN,2023-03-01,24,1251,1251
Slovenia,SVN,2023-03-01,25,1238,1238
Bulgaria,BGR,2023-03-01,26,1182,1182
France,FRA,2023-06-01,1,1787,1787
Netherlands,NLD,2023-06-01,2,1755,1755
Italy,ITA,2023-06-01,3,1709,1709
Portugal,PRT,2023-06-01,5,1687,1687
Belgium,BEL,2023-06-01,6,1678,1678
Spain,ESP,2023-06-01,7,1661,1661
Germany,DEU,2023-06-01,8,1634,1634
Croatia,HRV,2023-06-01,9,1620,1620
Switzerland,CHE,2023-06-01,10,1592,1592
Denmark,DNK,2023-06-01,11,1538,1538
Poland,POL,2023-06-01,12,1517,1517
Serbia,SRB,2023-06-01,13,1494,1494
Austria,AUT,2023-06-01,14,1488,1488
Sweden,SWE,2023-06-01,15,1446,1446
Ukraine,UKR,2023-06-01,16,1400,1400
Norway,NOR,2023-06-01,17,1391,1391
Romania,ROU,2023-06-01,18,1374,1374
Ireland,IRL,2023-06-01,19,1374,1374
Hungary,HUN,2023-06-01,20,1370,1370
Slovenia,SVN,2023-06-01,21,1350,1350
Czech Republic,CZE,2023-06-01,22,1349,1349
Slovakia,SVK,2023-06-01,23,1324,1324
Bulgaria,BGR,2023-06-01,24,1313,1313
Finland,FIN,2023-06-01,25,1308,1308
Greece,GRC,2023-06-01,26,1242,1242
Belgium,BEL,2023-09-01,1,1797,1797
France,FRA,2023-09-01,3,1785,1785
Italy,ITA,2023-09-01,4,1763,1763
Spain,ESP,2023-09-01,5,1706,1706
Netherlands,NLD,2023-09-01,6,1678,1678
Croatia,HRV,2023-09-01,7,1644,1644
Portugal,PRT,2023-09-01,8,1612,1612
Germany,DEU,2023-09-01,9,1558,1558
Austria,AUT,2023-09-01,10,1550,1550
Denmark,DNK,2023-09-01,11,1537,1537
Sweden,SWE,2023-09-01,12,1525,1525
Switzerland,CHE,2023-09-01,13,1524,1524
Poland,POL,2023-09-01,14,1471,1471
Hungary,HUN,2023-09-01,15,1452,1452
Ukraine,UKR,2023-09-01,16,1401,1401
Norway,NOR,2023-09-01,17,1396,1396
Serbia,SRB,2023-09-01,18,1395,1395
Romania,ROU,2023-09-01,19,1370,1370
Slovakia,SVK,2023-09-01,20,1362,1362
Czech Republic,CZE,2023-09-01,21,1350,1350
Slovenia,SVN,2023-09-01,22,1344,1344
Finland,FIN,2023-09-01,23,1271,1271
Greece,GRC,2023-09-01,24,1268,1268
Ireland,IRL,2023-09-01,25,1263,1263
Bulgaria,BGR,2023-09-01,26,1220,1220
Belgium,BEL,2023-12-01,2,1762,1762
France,FRA,2023-12-01,3,1724,1724
Netherlands,NLD,2023-12-01,4,1717,1717
Spain,ESP,2023-12-01,5,1714,1714
Portugal,PRT,2023-12-01,6,1648,1648
Italy,ITA,2023-12-01,7,1635,1635
Croatia,HRV,2023-12-01,8,1624,1624
Denmark,DNK,2023-12-01,9,1592,1592
Germany,DEU,2023-12-01,10,1567,1567
Switzerland,CHE,2023-12-01,11,1561,1561
Austria,AUT,2023-12-01,12,1478,1478
Romania,ROU,2023-12-01,13,1427,1427
Hungary,HUN,2023-12-01,14,1423,1423
Ukraine,UKR,2023-12-01,15,1421,1421
Sweden,SWE,2023-12-01,16,1419,1419
Serbia,SRB,2023-12-01,17,1418,1418
Poland,POL,2023-12-01,18,1412,1412
Ireland,IRL,2023-12-01,19,1403,1403
Czech Republic,CZE,2023-12-01,20,1354,1354
Norway,NOR,2023-12-01,21,1317,1317
Slovakia,SVK,2023-12-01,22,1312,1312
Greece,GRC,2023-12-01,23,1291,1291
Finland,FIN,2023-12-01,24,1290,1290
Slovenia,SVN,2023-12-01,25,1231,1231
Bulgaria,BGR,2023-12-01,26,1205,1205
